pd_timestamp,relative_timestamp,activity,activity_file,case_id,path
86987,19796,lstat,lstat | profiles.xml,2,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr2/eureka-server/profiles.xml\0"""
87013,19962,lstat,lstat | jvm.config,2,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr2/eureka-server/.mvn/jvm.config\0"""
87020,20035,lstat,lstat | maven.config,2,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr2/eureka-server/.mvn/maven.config\0"""
87024,1125446,open,open | pom.xml,2,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr2/eureka-server/pom.xml\0"""
87027,1125600,open,open | pom.xml,2,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr2/eureka-server/pom.xml\0"""
87190,20134,lstat,lstat | profiles.xml,2,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr2/gateway-server/profiles.xml\0"""
87212,20272,lstat,lstat | jvm.config,2,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr2/gateway-server/.mvn/jvm.config\0"""
87219,20325,lstat,lstat | maven.config,2,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr2/gateway-server/.mvn/maven.config\0"""
87227,1133519,open,open | pom.xml,2,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr2/gateway-server/pom.xml\0"""
87233,1133721,open,open | pom.xml,2,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr2/gateway-server/pom.xml\0"""
87385,20415,lstat,lstat | profiles.xml,2,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr2/main-service/profiles.xml\0"""
87409,20519,lstat,lstat | jvm.config,2,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr2/main-service/.mvn/jvm.config\0"""
87417,20556,lstat,lstat | maven.config,2,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr2/main-service/.mvn/maven.config\0"""
87421,1141735,open,open | pom.xml,2,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr2/main-service/pom.xml\0"""
87425,1141930,open,open | pom.xml,2,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr2/main-service/pom.xml\0"""
87539,20690,lstat,lstat | profiles.xml,2,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr2/video-service/profiles.xml\0"""
87561,20782,lstat,lstat | jvm.config,2,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr2/video-service/.mvn/jvm.config\0"""
87568,20824,lstat,lstat | maven.config,2,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr2/video-service/.mvn/maven.config\0"""
87572,1148125,open,open | pom.xml,2,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr2/video-service/pom.xml\0"""
87575,1148224,open,open | pom.xml,2,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr2/video-service/pom.xml\0"""
88168,109139458,lstat,lstat | wrapper.properties,2,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr2/.mvn/wrapper/maven-wrapper.properties\0"""
88176,109139529,getattrlist,getattrlist | wrapper.properties,2,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr2/.mvn/wrapper/maven-wrapper.properties\0"""
88177,109139625,open,open | wrapper.properties,2,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr2/.mvn/wrapper/maven-wrapper.properties\0"""
88257,109145145,stat64,stat64 | deployment.xml,2,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr2/.idea/deployment.xml\0"""
89133,1277856,stat64,stat64 | encodings.xml,2,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr2/.idea/encodings.xml\0"""
89196,1278331,stat64,stat64 | startup.xml,2,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr2/.idea/startup.xml\0"""
89519,1281162,stat64,stat64 | protoeditor.xml,2,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr2/.idea/protoeditor.xml\0"""
89560,1281534,stat64,stat64 | jarRepositories.xml,2,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr2/.idea/jarRepositories.xml\0"""
89640,1282219,stat64,stat64 | dynamic.xml,2,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr2/.idea/dynamic.xml\0"""
89975,972732,stat64,stat64 | jsLibraryMappings.xml,2,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr2/.idea/jsLibraryMappings.xml\0"""
90091,974382,stat64,stat64 | fileColors.xml,2,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr2/.idea/fileColors.xml\0"""
90619,1307233,stat64,stat64 | runConfigurations.xml,2,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr2/.idea/runConfigurations.xml\0"""
90633,976479,stat64,stat64 | wrapper.properties,2,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr2/gradle/wrapper/gradle-wrapper.properties\0"""
90659,976612,stat64,stat64 | build.gradle,2,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr2/build.gradle\0"""
90662,976626,stat64,stat64 | build.gradle,2,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr2/build.gradle.kts\0"""
90684,976730,stat64,stat64 | settings.gradle,2,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr2/settings.gradle\0"""
90686,976739,stat64,stat64 | settings.gradle,2,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr2/settings.gradle.kts\0"""
90689,976752,stat64,stat64 | gradle.properties,2,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr2/gradle.properties\0"""
90719,254308,stat64,stat64 | kotlinc.xml,2,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr2/.idea/kotlinc.xml\0"""
